
 prefix: admin, CPU load: 0.66, Heap load: 2.55
 prefix: admin, CPU load: 0.66, Heap load: 1.18
 prefix: application, CPU load: 0.66, Heap load: 1.28
 prefix: admin, CPU load: 0.66, Heap load: 2.52
 prefix: application, CPU load: 0.66, Heap load: 15.21
 prefix: admin, CPU load: 0.66, Heap load: 3.6
 prefix: application, CPU load: 0.66, Heap load: 25.28
 prefix: admin, CPU load: 0.85, Heap load: 3.83
 prefix: application, CPU load: 0.85, Heap load: 8.05
 prefix: admin, CPU load: 0.85, Heap load: 3.83
 prefix: application, CPU load: 0.85, Heap load: 9.28
 prefix: admin, CPU load: 0.85, Heap load: 3.98
 Build: 0. Application tests started.
 prefix: application, CPU load: 0.85, Heap load: 9.37
 prefix: admin, CPU load: 0.85, Heap load: 4.06
 prefix: application, CPU load: 0.85, Heap load: 9.37
 prefix: admin, CPU load: 0.85, Heap load: 4.21
 prefix: application, CPU load: 0.85, Heap load: 9.37
 prefix: admin, CPU load: 0.94, Heap load: 4.21
 prefix: application, CPU load: 0.94, Heap load: 9.37
 prefix: admin, CPU load: 0.94, Heap load: 1.11
 prefix: application, CPU load: 0.94, Heap load: 11.65
 prefix: admin, CPU load: 0.94, Heap load: 1.14
 prefix: application, CPU load: 0.94, Heap load: 12.47
 prefix: admin, CPU load: 0.94, Heap load: 1.37
 prefix: application, CPU load: 0.94, Heap load: 12.92
 prefix: admin, CPU load: 0.94, Heap load: 1.37
 prefix: application, CPU load: 0.94, Heap load: 12.92
 prefix: admin, CPU load: 1.11, Heap load: 1.57
 prefix: application, CPU load: 1.11, Heap load: 12.92
 prefix: admin, CPU load: 1.11, Heap load: 1.59
 prefix: application, CPU load: 1.11, Heap load: 12.92
 prefix: admin, CPU load: 1.11, Heap load: 1.77
 prefix: application, CPU load: 1.11, Heap load: 13.06
 prefix: admin, CPU load: 1.11, Heap load: 1.82
 prefix: application, CPU load: 1.11, Heap load: 13.06
 prefix: admin, CPU load: 1.11, Heap load: 2.0
 prefix: application, CPU load: 1.11, Heap load: 13.06
 prefix: admin, CPU load: 1.02, Heap load: 2.02
 prefix: application, CPU load: 1.02, Heap load: 13.06
 prefix: admin, CPU load: 1.02, Heap load: 2.2
 prefix: application, CPU load: 1.02, Heap load: 13.06
 prefix: admin, CPU load: 1.02, Heap load: 2.2
 prefix: application, CPU load: 1.02, Heap load: 13.06
 prefix: admin, CPU load: 1.02, Heap load: 2.35
 prefix: application, CPU load: 1.02, Heap load: 13.06
 prefix: admin, CPU load: 1.02, Heap load: 2.37
 prefix: application, CPU load: 1.02, Heap load: 13.06
 prefix: admin, CPU load: 0.94, Heap load: 2.55
 prefix: application, CPU load: 0.94, Heap load: 13.06
 prefix: admin, CPU load: 0.94, Heap load: 2.55
 prefix: application, CPU load: 0.94, Heap load: 13.24
 prefix: admin, CPU load: 0.94, Heap load: 2.73
 prefix: application, CPU load: 0.94, Heap load: 13.24
 prefix: admin, CPU load: 0.94, Heap load: 2.73
 prefix: application, CPU load: 0.94, Heap load: 13.24
 prefix: admin, CPU load: 0.94, Heap load: 2.9
 prefix: application, CPU load: 0.94, Heap load: 13.24
 prefix: admin, CPU load: 0.94, Heap load: 2.93
 prefix: application, CPU load: 0.94, Heap load: 13.24
 prefix: admin, CPU load: 0.94, Heap load: 3.1
 prefix: application, CPU load: 0.94, Heap load: 13.24
 prefix: admin, CPU load: 0.94, Heap load: 3.1
 prefix: application, CPU load: 0.94, Heap load: 13.6
 prefix: admin, CPU load: 0.94, Heap load: 3.31
 prefix: application, CPU load: 0.94, Heap load: 13.6
 prefix: admin, CPU load: 0.94, Heap load: 3.31
 prefix: application, CPU load: 0.94, Heap load: 13.7
 prefix: admin, CPU load: 1.27, Heap load: 3.48
 prefix: application, CPU load: 1.27, Heap load: 13.7
 prefix: admin, CPU load: 1.27, Heap load: 3.48
 prefix: application, CPU load: 1.27, Heap load: 13.79
 prefix: admin, CPU load: 1.27, Heap load: 3.68
 prefix: application, CPU load: 1.27, Heap load: 13.88
 prefix: admin, CPU load: 1.27, Heap load: 3.68
